album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode
"Another Self Portrait (1969-1971): The Bootleg Series, Vol. 10 [Deluxe Edition]",0.5142,0.434336,-9.63894,0.051651999999999997,0.7634000000000001,0.011845216999999998,0.376478,0.5056080000000001,120.44239999999999,1,0,4
Another Side Of Bob Dylan,0.5179090909090909,0.42590909090909085,-8.18909090909091,0.03908181818181818,0.7396363636363635,3.1e-05,0.10765454545454545,0.46136363636363636,133.917,1,7,4
Before The Flood (Live),0.4107619047619047,0.8876190476190476,-7.254238095238096,0.1903952380952381,0.1843509523809524,0.00027012095238095236,0.9278571428571428,0.4544761904761905,133.5572857142857,1,7,4
Blonde On Blonde,0.48050000000000004,0.6122857142857142,-8.993285714285713,0.03774285714285714,0.4128785714285715,1.8547857142857143e-05,0.17024999999999998,0.6684285714285715,123.02714285714286,1,2,4
Blood On The Tracks,0.469,0.3988,-15.4441,0.04401,0.49549000000000004,0.00039533599999999993,0.09037999999999999,0.5431,123.54189999999998,1,4,4
Bob Dylan,0.536076923076923,0.48184615384615387,-8.533153846153846,0.03823846153846154,0.8294615384615385,0.0073475761538461535,0.14870769230769232,0.6125384615384616,120.83338461538462,1,7,4
Bob Dylan At Budokan (Live),0.47077272727272723,0.6047272727272728,-8.277090909090909,0.06175,0.5242727272727273,0.007762237272727273,0.7645909090909092,0.6215909090909091,116.62909090909092,1,0,4
Bob Dylan In Concert: Brandeis University 1963 (Live),0.535,0.3975714285714286,-13.185,0.18632857142857143,0.6198571428571429,0.0005962857142857142,0.25314285714285717,0.49957142857142856,109.56228571428572,1,7,4
Bob Dylan Live At Carnegie Hall 1963,0.49533333333333335,0.21611666666666665,-13.752833333333333,0.052083333333333336,0.8453333333333334,6.028333333333333e-05,0.8451666666666666,0.45,148.4265,1,10,3
Bringing It All Back Home,0.6111818181818182,0.4853636363636364,-12.69609090909091,0.05047272727272727,0.6259090909090909,6.145454545454545e-07,0.16376363636363636,0.6611818181818182,136.35654545454545,1,4,4
Christmas In The Heart,0.5468666666666666,0.4732,-6.691800000000001,0.034686666666666664,0.7452000000000001,0.0,0.13711333333333334,0.4987333333333333,100.30386666666666,1,7,4
Desire,0.5258888888888889,0.6307777777777778,-8.600777777777777,0.03794444444444445,0.155,6.505777777777777e-05,0.15853333333333333,0.5866666666666667,134.80588888888892,1,7,4
Down In The Groove,0.5633,0.5127200000000001,-12.2574,0.043480000000000005,0.37046,0.000221148,0.11333,0.5649,118.1985,1,9,4
Dylan & The Dead (Live),0.4777142857142857,0.5191428571428571,-13.934142857142858,0.05552857142857143,0.14364142857142856,0.003191847142857143,0.9475714285714286,0.5004285714285714,139.044,1,2,4
Dylan (1973),0.4648888888888889,0.5564444444444444,-9.918444444444445,0.04191111111111111,0.4891111111111111,5.227111111111111e-05,0.19156666666666666,0.5216666666666667,116.24055555555555,1,0,4
Empire Burlesque,0.5567,0.59029,-12.807400000000001,0.04643,0.21188,4.1674e-05,0.16597,0.6063,126.8401,1,4,4
Fallen Angels,0.51875,0.086875,-21.900833333333335,0.041466666666666666,0.8382499999999999,2.0878333333333333e-05,0.12791666666666665,0.3195,97.95941666666666,1,0,4
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17",0.5257826086956522,0.600695652173913,-8.22008695652174,0.03753478260869565,0.4496130434782609,0.02585220304347826,0.14576956521739132,0.45991304347826084,120.53339130434783,1,4,4
