id,track_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6e5TJqqoSluCky176eZLCA,"A Hard Rain's A-Gonna Fall - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.5,0.675,9,-10.699,1,0.033,0.0236,0.911,0.13,0.659,113.23,4
2UvVDBoJ2PQ6qknXhpQrcl,"Repossession Blues - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.448,0.723,2,-9.378,1,0.051,0.273,0.00284,0.692,0.66,114.529,4
4SfsoSPowHCsRgmD2jhB55,"Mr. Tambourine Man - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.452,0.67,0,-9.15,1,0.0306,0.0428,0.00507,0.159,0.857,143.108,4
1gcx51NP1TnbHEryTBCeWH,"I Threw It All Away - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.526,0.417,0,-11.401,1,0.0387,0.474,0.000153,0.129,0.298,114.738,4
1nOwuIabvDTElxxqwrpTPH,"Shelter from the Storm - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.538,0.504,5,-9.426,1,0.0381,0.6,0.0,0.156,0.874,162.082,4
5mJQO9xpAOf4uQQ5FbeHzT,"Love Minus Zero / No Limit - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.587,0.765,2,-9.591,1,0.0393,0.0833,0.15,0.0923,0.769,144.105,4
7MAJzonybXXH52ArfGMjhI,"Girl from the North Country - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.274,0.0922,4,-19.391,1,0.041,0.96,0.156,0.597,0.129,84.765,3
5EdlBxokfWBjwMEp2EkP8L,"Ballad of a Thin Man - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.43,0.581,11,-8.828,0,0.0776,0.462,9.37e-06,0.768,0.541,148.556,4
6UybfnwEdRD93au99RPpH9,"Maggie's Farm - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.525,0.726,2,-7.899,1,0.0414,0.0886,0.000245,0.684,0.777,126.595,4
1ymVl0kIJzIDXW4gVed9Ii,"To Ramona - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.424,0.367,0,-10.271,1,0.0334,0.3,1.24e-05,0.477,0.355,182.145,3
0bSBs1PT8fFiTl5Yx8Ktlz,"Like a Rolling Stone - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.445,0.604,0,-8.477,1,0.0259,0.121,8.16e-06,0.177,0.353,97.15,4
2u5m3xUC7u4UnmqE3mYL4u,"I Shall Be Released - Live at Nippon Budokan Hall, Tokyo, Japan - February 28, 1978",The Complete Budokan 1978 (Live),0.52,0.359,6,-10.71,0,0.0321,0.497,6.25e-05,0.11,0.402,78.316,4
