album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode,name,images
"Another Self Portrait (1969-1971): The Bootleg Series, Vol. 10 [Deluxe Edition]",0.5142,0.434336,-9.63894,0.0516519999999999,0.7634000000000001,0.0118452169999999,0.376478,0.5056080000000001,120.4424,1,0,4,"Another Self Portrait (1969-1971): The Bootleg Series, Vol. 10 [Deluxe Edition]","[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e78de4dfda8fd05bdd9cc2f4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e78de4dfda8fd05bdd9cc2f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e78de4dfda8fd05bdd9cc2f4', 'width': 64}]"
Another Side Of Bob Dylan,0.5179090909090909,0.4259090909090908,-8.18909090909091,0.0390818181818181,0.7396363636363635,3.1e-05,0.1076545454545454,0.4613636363636363,133.917,1,7,4,Another Side Of Bob Dylan,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b63a920ec5459261707a4eaf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b63a920ec5459261707a4eaf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b63a920ec5459261707a4eaf', 'width': 64}]"
Before The Flood (Live),0.4107619047619047,0.8876190476190476,-7.254238095238096,0.1903952380952381,0.1843509523809524,0.0002701209523809,0.9278571428571428,0.4544761904761905,133.5572857142857,1,7,4,Before The Flood (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27355ecddc0466561dd83c773e4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0255ecddc0466561dd83c773e4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485155ecddc0466561dd83c773e4', 'width': 64}]"
Blonde On Blonde,0.4805,0.6122857142857142,-8.993285714285713,0.0377428571428571,0.4128785714285715,1.8547857142857143e-05,0.1702499999999999,0.6684285714285715,123.02714285714286,1,2,4,Blonde On Blonde,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c51563a479fa5a4917311197', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c51563a479fa5a4917311197', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c51563a479fa5a4917311197', 'width': 64}]"
Blood On The Tracks,0.469,0.3988,-15.4441,0.04401,0.49549,0.0003953359999999,0.0903799999999999,0.5431,123.54189999999998,1,4,4,Blood On The Tracks,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27372ca15b8637acbc7d15ff5ba', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0272ca15b8637acbc7d15ff5ba', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485172ca15b8637acbc7d15ff5ba', 'width': 64}]"
Bob Dylan,0.536076923076923,0.4818461538461538,-8.533153846153846,0.0382384615384615,0.8294615384615385,0.0073475761538461,0.1487076923076923,0.6125384615384616,120.83338461538462,1,7,4,Bob Dylan,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f86dfb435345270049a75af9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02f86dfb435345270049a75af9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851f86dfb435345270049a75af9', 'width': 64}]"
Bob Dylan At Budokan (Live),0.4707727272727272,0.6047272727272728,-8.277090909090909,0.06175,0.5242727272727273,0.0077622372727272,0.7645909090909092,0.6215909090909091,116.62909090909092,1,0,4,Bob Dylan At Budokan (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fdfc5fbc19dd82b6537e16ea', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02fdfc5fbc19dd82b6537e16ea', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851fdfc5fbc19dd82b6537e16ea', 'width': 64}]"
Bob Dylan In Concert: Brandeis University 1963 (Live),0.535,0.3975714285714286,-13.185,0.1863285714285714,0.6198571428571429,0.0005962857142857,0.2531428571428571,0.4995714285714285,109.56228571428572,1,7,4,Bob Dylan In Concert: Brandeis University 1963 (Live),"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273435a96e463ed68ef39430f6a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02435a96e463ed68ef39430f6a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851435a96e463ed68ef39430f6a', 'width': 64}]"
Bob Dylan Live At Carnegie Hall 1963,0.4953333333333333,0.2161166666666666,-13.752833333333331,0.0520833333333333,0.8453333333333334,6.028333333333333e-05,0.8451666666666666,0.45,148.4265,1,10,3,Bob Dylan Live At Carnegie Hall 1963,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27337d1a94ea2bc1d745de382d6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0237d1a94ea2bc1d745de382d6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485137d1a94ea2bc1d745de382d6', 'width': 64}]"
Bringing It All Back Home,0.6111818181818182,0.4853636363636364,-12.69609090909091,0.0504727272727272,0.6259090909090909,6.145454545454545e-07,0.1637636363636363,0.6611818181818182,136.35654545454543,1,4,4,Bringing It All Back Home,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736960c5f4eb72f0c06aa92181', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e026960c5f4eb72f0c06aa92181', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048516960c5f4eb72f0c06aa92181', 'width': 64}]"
