danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0.65,0.277,9,-14.219,1,0.0339,0.238,0.0,0.166,0.495,124.347,4
0.663,0.628,11,-8.824,1,0.0293,0.614,0.578,0.355,0.433,97.305,3
0.498,0.711,9,-7.092,1,0.0288,0.0046,0.167,0.359,0.35,112.061,4
0.647,0.384,0,-15.012,1,0.0462,0.518,5.85e-05,0.164,0.877,142.819,4
0.576,0.331,8,-11.021,1,0.031,0.435,0.0,0.144,0.772,88.237,4
0.205,0.161,5,-14.939,1,0.0382,0.935,0.0373,0.108,0.0673,123.981,5
0.47,0.32,10,-18.573,1,0.0337,0.389,0.0,0.977,0.516,135.051,4
0.166,0.497,8,-11.776,1,0.0403,0.63,0.403,0.233,0.115,109.641,4
0.597,0.114,7,-16.384,1,0.0439,0.917,0.0,0.131,0.325,86.741,4
0.581,0.615,11,-11.224,0,0.0557,0.567,0.0606,0.126,0.696,153.682,3
0.729,0.688,3,-7.468,1,0.0264,0.127,9.44e-06,0.295,0.671,123.867,4
0.34,0.283,3,-13.474,1,0.04,0.622,0.0,0.0684,0.281,172.22,3
0.544,0.281,4,-14.573,1,0.0276,0.805,0.000103,0.148,0.44,105.319,4
0.603,0.483,0,-7.898,1,0.03,0.599,0.000751,0.0886,0.415,89.386,4
0.616,0.771,10,-10.065,1,0.0369,0.191,0.0,0.241,0.673,87.08,4
0.379,0.356,6,-10.128,1,0.037,0.893,0.00202,0.112,0.637,166.772,4
0.439,0.489,9,-9.192,0,0.029,0.167,5.05e-06,0.0957,0.733,142.895,4
0.526,0.507,3,-13.163,1,0.0407,0.547,7.41e-05,0.248,0.37,112.896,4
0.26,0.00397,2,-31.095,1,0.0406,0.982,0.913,0.102,0.0368,82.862,4
0.639,0.784,10,-6.63,1,0.0675,0.416,9.32e-06,0.133,0.752,134.793,4
